"ID page","Concurrent","URL","Objet et variante","Cadence prévue","Observation précédente","Date précédente","Nouvelle observation","Date du contrôle","Statut","Vérification","Analyse ou hypothèse","Décision","Responsable","Prochain contrôle","Référence de preuve"
"P01","Camp Nord","https://camp-nord.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","","","54 EUR TTC + 4 EUR livraison","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Responsable e-commerce","J2 09:00","EXEMPLE FICTIF P01 J1 — aucune capture réelle"
"P02","Maison Sentier","https://maison-sentier.example/offres","Offre sur G60","J1 à J5 à 09:00","","","Aucune offre","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Responsable e-commerce","J2 09:00","EXEMPLE FICTIF P02 J1 — aucune capture réelle"
"P03","Camp Nord","https://camp-nord.example/livraison","Livraison standard France métropolitaine","J1 et J4 à 09:00","","","Livraison offerte dès 60 EUR; sinon 4 EUR","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Responsable e-commerce","J4 09:00","EXEMPLE FICTIF P03 J1 — aucune capture réelle"
"P04","Maison Sentier","https://maison-sentier.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","","","Prix public 52 EUR TTC","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Responsable e-commerce","J2 09:00","EXEMPLE FICTIF P04 J1 — aucune capture réelle"
"P05","Bivouac Clair","https://bivouac-clair.example/gourdes","Première page catégorie gourdes","J1 et J4 à 09:00","","","G60 visible en première page","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Chargé du relevé","J4 09:00","EXEMPLE FICTIF P05 J1 — aucune capture réelle"
"P06","Bivouac Clair","https://bivouac-clair.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","","","Fiche accessible; 55 EUR TTC","J1 09:00 (fictif)","Première observation","Page et contexte à relire; exemple fictif","","Établir le repère","Chargé du relevé","J2 09:00","EXEMPLE FICTIF P06 J1 — aucune capture réelle"
"P01","Camp Nord","https://camp-nord.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","54 EUR TTC + 4 EUR livraison","J1 09:00 (fictif)","54 EUR TTC + 4 EUR livraison","J2 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J3 09:00","EXEMPLE FICTIF P01 J2 — aucune capture réelle"
"P02","Maison Sentier","https://maison-sentier.example/offres","Offre sur G60","J1 à J5 à 09:00","Aucune offre","J1 09:00 (fictif)","Aucune offre","J2 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J3 09:00","EXEMPLE FICTIF P02 J2 — aucune capture réelle"
"P04","Maison Sentier","https://maison-sentier.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Prix public 52 EUR TTC","J1 09:00 (fictif)","Prix public 52 EUR TTC","J2 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Responsable e-commerce","J3 09:00","EXEMPLE FICTIF P04 J2 — aucune capture réelle"
"P06","Bivouac Clair","https://bivouac-clair.example/produits/g60-vert","G60 inox 600 ml verte","J1 à J5 à 09:00","Fiche accessible; 55 EUR TTC","J1 09:00 (fictif)","Fiche accessible; 55 EUR TTC","J2 09:00 (fictif)","Sans changement observé","Page et contexte à relire; exemple fictif","","Conserver la trace","Chargé du relevé","J3 09:00","EXEMPLE FICTIF P06 J2 — aucune capture réelle"
